Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1997,1,,1,1.0,Y,"$2,505,000",Matt Anderson (minors),RHP,-0.6,22.0,0.0,0.0,,,257.0,15.0,7.0,5.19,1.58,26.0,4Yr,"Rice University (Houston, TX)",1
1996,1,,6,6.0,Y,"$1,415,000",Seth Greisinger (minors),RHP,0.0,2.0,6.0,0.0,0.167,0.333,42.0,10.0,16.0,5.51,1.52,0.0,4Yr,"University of Virginia (Charlottesville, VA)",1
1995,1,,11,11.0,Y,"$970,000",Mike Drumright (minors),RHP,,,,,,,,,,,,,4Yr,"Wichita State University (Wichita, KS)",1
1994,1,,18,18.0,Y,"$825,000",Cade Gaspar (minors),RHP,,,,,,,,,,,,,4Yr,"Pepperdine University (Malibu, CA)",1
1993,1,,9,9.0,Y,"$800,000",Matt Brunson (minors),SS,,,,,,,,,,,,,HS,"Cherry Creek HS (Greenwood Village, CO)",1
1992,1,,16,16.0,Y,"$470,000",Rick Greene (minors),RHP,-0.1,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.76,1.41,0.0,4Yr,"Louisiana State University (Baton Rouge, LA)",1
1991,1s,,32,32.0,Y,,*Justin Thompson (minors),LHP,12.8,5.0,14.0,0.0,0.071,0.143,103.0,36.0,43.0,4.02,1.34,0.0,HS,"Klein Oak HS (Spring, TX)",1
1991,1s,,41,41.0,Y,,*Trever Miller (minors),LHP,4.7,408.0,6.0,0.0,0.167,0.5,694.0,18.0,17.0,4.18,1.45,11.0,HS,"Trinity HS (Louisville, KY)",1
1990,1,,2,2.0,Y,"$500,000",Tony Clark (minors),OF,12.3,1559.0,4532.0,251.0,0.262,0.824,,,,,,,HS,"Christian HS (El Cajon, CA)",1
1989,1,,21,21.0,Y,"$169,000",Greg Gohr (minors),RHP,0.4,0.0,0.0,0.0,,,66.0,8.0,11.0,6.21,1.73,1.0,4Yr,"Santa Clara University (Santa Clara, CA)",1
1988,1,,26,26.0,Y,"$100,000",Rico Brogna (minors),1B,-1.1,848.0,2958.0,106.0,0.269,0.764,,,,,,,HS,"Watertown HS (Watertown, CT)",1
1987,1,,20,20.0,Y,"$125,000",*Bill Henderson (minors),C,,,,,,,,,,,,,HS,"Westminster Christian School (Miami, FL)",1
1987,1,,21,21.0,Y,"$80,000",Steve Pegues (minors),OF,-0.7,100.0,207.0,6.0,0.266,0.687,,,,,,,HS,"Pontotoc HS (Pontotoc, MS)",1
1987,1s,,30,30.0,Y,,*Travis Fryman (minors),SS,34.4,1698.0,6481.0,223.0,0.274,0.779,,,,,,,HS,"Gonzalez Tate HS (Pensacola, FL)",1
1986,1,,18,18.0,Y,"$83,000",Phil Clark (minors),C,0.7,264.0,543.0,17.0,0.276,0.743,,,,,,,HS,"Crockett HS (Crockett, TX)",1
1985,1,,26,26.0,Y,"$100,000",Randy Nosek (minors),RHP,-0.7,0.0,0.0,0.0,,,5.0,1.0,3.0,10.22,2.68,0.0,HS,"Chillicothe HS (Chillicothe, MO)",1
1983,1,,15,15.0,Y,"$69,900",Wayne Dotson (minors),RHP,,,,,,,,,,,,,HS,"Estacado HS (Lubbock, TX)",1
1982,1,,20,20.0,Y,"$73,000",Rich Monteleone (minors),RHP,2.6,39.0,3.0,0.0,0.0,0.0,210.0,24.0,17.0,3.87,1.31,0.0,HS,"Tampa Catholic HS (Tampa, FL)",1
1981,1,,17,17.0,Y,"$67,500",Ricky Barlow (minors),RHP,,,,,,,,,,,,,HS,"Woodville HS (Woodville, TX)",1
1980,1,,18,18.0,Y,"$62,500",Glenn Wilson (minors),3B,13.1,1201.0,4151.0,98.0,0.265,0.704,1.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Sam Houston State University (Huntsville, TX)",1
1979,1,,13,13.0,Y,"$125,000",Rick Leach (minors),OF,3.0,799.0,1719.0,18.0,0.268,0.704,1.0,0.0,0.0,27.0,4.0,0.0,4Yr,"University of Michigan (Ann Arbor, MI)",1
1979,1,,23,23.0,Y,"$54,000",*Chris Baker (minors),OF,,,,,,,,,,,,,HS,"Franklin HS (Livonia, MI)",1
