Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1970,3,,61,13.0,Y,,Scott Johnson (minors),RHP,,,,,,,,,,,,,HS,"Millersburg Military Institute (Millersburg, KY)",3
1969,3,,58,10.0,Y,,Fred Cambria (minors),RHP,0.3,6.0,10.0,0.0,0.2,0.533,6.0,1.0,2.0,3.51,1.47,0.0,4Yr,"Saint Leo University (St. Leo, FL)",3
1968,3,,49,9.0,N,,James Sams (minors),RHP,,,,,,,,,,,,,HS,"Cuyahoga Falls HS (Cuyahoga Falls, OH)",3
1967,3,,56,16.0,Y,,Richie Zisk (minors),OF,25.1,1453.0,5144.0,207.0,0.287,0.819,,,,,,,HS,"Parsippany HS (Parsippany-Troy Hills, NJ)",3
1966,3,,55,15.0,Y,,Dick Grimaldi (minors),RHP,,,,,,,,,,,,,HS,"Thomas R. Proctor HS (Utica, NY)",3
1965,3,,50,10.0,Y,,Dick Hendrix (minors),RHP,,,,,,,,,,,,,HS,"Princeton HS (Cincinnati, OH)",3
2023,4,,104,3.0,Y,"$597,500",Carlson Reed (minors),P,,,,,,,,,,,,,4Yr,"West Virginia University (Morgantown, WV)",4
2022,4,,110,4.0,Y,"$1,000,000",Michael Kennedy (minors),P,,,,,,,,,,,,,HS,"Troy HS (Troy, NY)",4
2021,4,,102,1.0,Y,"$600,000",Owen Kellington (minors),P,,,,,,,,,,,,,HS,"U-32 HS (Montpelier, VT)",4
2020,4,,108,7.0,Y,"$60,000",Jack Hartman (minors),P,,,,,,,,,,,,,4Yr,"Appalachian State University (Boone, NC)",4
2019,4,,124,17.0,Y,"$497,500",J.C. Flowers (minors),RHP,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",4
2018,4,,114,10.0,Y,"$475,000",Aaron Shortridge (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",4
2017,4,,118,13.0,Y,"$100,000",Jason Delay (minors),C,-0.5,127.0,322.0,2.0,0.233,0.604,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",4
2016,4,,135,29.0,Y,"$800,000",Braeden Ogle (minors),LHP,,,,,,,,,,,,,HS,"Jensen Beach HS (Jensen Beach, FL)",4
2015,4,,127,22.0,Y,"$500,000",Jacob Taylor (minors),RHP,,,,,,,,,,,,,JC,"Pearl River Community College (Poplarville, MS)",4
2014,4,,131,26.0,Y,"$388,800",Taylor Gushue (minors),C,-0.1,2.0,4.0,0.0,0.0,0.0,,,,,,,4Yr,"University of Florida (Gainesville, FL)",4
2013,4,,119,13.0,Y,"$375,000",Cody Dickson (minors),LHP,,,,,,,,,,,,,4Yr,"Sam Houston State University (Huntsville, TX)",4
2012,4,,136,8.0,N,,Brandon Thomas (minors),CF,,,,,,,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",4
2011,4,,122,1.0,Y,"$240,000",Colten Brewer (minors),RHP,0.4,11.0,0.0,0.0,,,84.0,2.0,5.0,4.98,1.77,0.0,HS,"Canton HS (Canton, TX)",4
2010,4,,117,2.0,Y,"$485,000",Nick Kingham (minors),RHP,-1.5,31.0,29.0,0.0,0.069,0.285,43.0,9.0,9.0,6.08,1.58,1.0,HS,"Sierra Vista HS (Las Vegas, NV)",4
2009,4,,115,4.0,Y,"$600,000",Zack Dodson (minors),LHP,,,,,,,,,,,,,HS,"Medina Valley HS (Castroville, TX)",4
2008,4,,114,2.0,Y,"$293,000",Chase d'Arnaud (minors),SS,-0.7,236.0,550.0,5.0,0.222,0.59,1.0,0.0,0.0,0.0,1.0,0.0,4Yr,"Pepperdine University (Malibu, CA)",4
2007,4,,128,4.0,Y,"$220,000",Quincy Latimore (minors),OF,,,,,,,,,,,,,HS,"Middle Creek HS (Apex, NC)",4
2006,4,,110,4.0,Y,"$305,000",Jared Hughes (minors),RHP,8.4,498.0,8.0,0.0,0.0,0.0,542.0,30.0,26.0,2.96,1.24,12.0,4Yr,"California State University, Long Beach (Long Beach, CA)",4
2005,4,,121,11.0,Y,"$262,500",Brent Lillibridge (minors),SS,-0.9,358.0,708.0,19.0,0.205,0.599,,,,,,,4Yr,"University of Washington (Seattle, WA)",4
2004,4,,112,11.0,Y,"$300,000",Joe Bauserman (minors),RHP,,,,,,,,,,,,,HS,"Lincoln HS (Tallahassee, FL)",4
2003,4,,105,8.0,Y,"$345,000",Kyle Pearson (minors),RHP,,,,,,,,,,,,,HS,"A. Crawford Mosley HS (Lynn Haven, FL)",4
2002,4,,103,1.0,Y,,Wardell Starling (minors),RHP,,,,,,,,,,,,,HS,"Lawrence E. Elkins HS (Missouri City, TX)",4
2001,4,,114,8.0,Y,,Jeff Keppinger (minors),SS,1.1,818.0,2882.0,45.0,0.282,0.714,,,,,,,4Yr,"University of Georgia (Athens, GA)",4
2000,4,,119,19.0,N,,Patrick Boyd (minors),OF,,,,,,,,,,,,,4Yr,"Clemson University (Clemson, SC)",4
1999,4,,122,8.0,Y,,Justin Reid (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Davis (Davis, CA)",4
1998,4,,118,15.0,Y,,Eddy Furniss (minors),1B,,,,,,,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",4
1997,4,,122,8.0,Y,,Mo Washington (minors),OF,,,,,,,,,,,,,HS,"Chaparral HS (Las Vegas, NV)",4
1996,4,,96,1.0,Y,,Lee Evans (minors),C,,,,,,,,,,,,,HS,"Tuscaloosa County HS (Northport, AL)",4
1995,4,,97,10.0,Y,,Alex Hernandez (minors),OF,-1.0,27.0,71.0,1.0,0.183,0.451,,,,,,,HS,"Juan Rios Serpa HS (Levittown, Puerto Rico)",4
1994,4,,102,11.0,Y,,Bryan Farson (minors),LHP,,,,,,,,,,,,,4Yr,"Kent State University (Kent, OH)",4
1993,4,,122,22.0,Y,,Kerry Ward (minors),RHP,,,,,,,,,,,,,JC,"Florida SouthWestern State College (Fort Myers, FL)",4
1992,4,,119,23.0,Y,,Tim Leger (minors),OF,,,,,,,,,,,,,HS,"Acadiana HS (Lafayette, LA)",4
1991,4,,123,24.0,Y,,Ben Boka (minors),C,,,,,,,,,,,,,HS,"Barrington Community HS (Barrington, IL)",4
1990,4,,106,7.0,Y,,Mitch House (minors),C,,,,,,,,,,,,,HS,"Castlewood HS (Castlewood, VA)",4
1989,4,,105,19.0,N,,Patrick Hicks (minors),C,,,,,,,,,,,,,JC,"College of Southern Idaho (Twin Falls, ID)",4
1988,4,,96,13.0,Y,,Steve Buckholz (minors),RHP,,,,,,,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",4
1987,4,,86,2.0,Y,,Wes Chamberlain (minors),OF,1.2,385.0,1263.0,43.0,0.255,0.722,,,,,,,4Yr,"Jackson State University (Jackson, MS)",4
1986,4,,82,1.0,Y,,Joel Forrest (minors),LHP,,,,,,,,,,,,,4Yr,"Colorado Mesa University (Grand Junction, CO)",4
1985,4,,86,6.0,Y,,Robin Vaughn (minors),SS,,,,,,,,,,,,,HS,"Crenshaw HS (Los Angeles, CA)",4
1984,4,,95,15.0,N,,Scott Mackie (minors),OF,,,,,,,,,,,,,HS,"Elkton HS (Elkton, MD)",4
1983,4,,92,12.0,N,,Tom Powers (minors),RHP,,,,,,,,,,,,,HS,"Mount Carmel HS (Chicago, IL)",4
1982,4,,87,7.0,Y,,Charles Marty (minors),RHP,,,,,,,,,,,,,4Yr,"Point Loma Nazarene University (San Diego, CA)",4
