Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2007,1s,,56,56,Y,"$462,500",*Trystan Magnuson (minors),RHP,-0.2,0.0,0.0,0.0,,,9.0,0.0,0.0,6.14,1.36,0.0,4Yr,"University of Louisville (Louisville, KY)",1
2006,1,,14,14,Y,"$1,700,000",Travis Snider (minors),OF,4.3,630.0,1783.0,54.0,0.244,0.709,1.0,0.0,0.0,18.0,3.0,0.0,HS,"Henry M. Jackson HS (Mill Creek, WA)",1
2005,1,,6,6,Y,"$2,400,000",Ricky Romero (minors),LHP,9.9,8.0,21.0,0.0,0.095,0.19,129.0,51.0,45.0,4.16,1.4,0.0,4Yr,"California State University, Fullerton (Fullerton, CA)",1
2004,1,,16,16,Y,"$1,600,000",David Purcey (minors),LHP,0.1,7.0,1.0,0.0,0.0,0.0,111.0,7.0,13.0,4.98,1.54,1.0,4Yr,"University of Oklahoma (Norman, OK)",1
2004,1s,,32,32,Y,"$1,017,500",*Zach Jackson (minors),LHP,-0.8,8.0,9.0,0.0,0.111,0.222,22.0,4.0,5.0,5.81,1.57,0.0,4Yr,"Texas A&M University (College Station, TX)",1
2003,1,,13,13,Y,"$1,675,000",Aaron Hill (minors),SS,24.4,1559.0,5646.0,162.0,0.266,0.74,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2002,1,,14,14,Y,"$1,785,000",Russ Adams (minors),SS,0.0,286.0,884.0,17.0,0.247,0.685,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2001,1,,15,15,Y,"$1,865,000",Gabe Gross (minors),OF,4.6,657.0,1461.0,40.0,0.239,0.716,,,,,,,4Yr,"Auburn University (Auburn, AL)",1
2000,1,,18,18,Y,"$950,000",Miguel Negron (minors),OF,,,,,,,,,,,,,HS,"Manuela Toro HS (Caguas, Puerto Rico)",1
2000,1s,,33,33,Y,"$950,000",*Dustin McGowan (minors),RHP,1.6,135.0,27.0,0.0,0.074,0.148,290.0,35.0,34.0,4.5,1.38,2.0,HS,"Long County HS (Ludowici, GA)",1
1999,1,,19,19,Y,"$845,000",Alex Rios (minors),3B,27.3,1691.0,6419.0,169.0,0.277,0.755,,,,,,,HS,"San Pedro Martin HS (Guaynabo, Puerto Rico)",1
1998,1,,8,8,Y,"$2,000,000",Felipe Lopez (minors),SS,7.5,1185.0,4337.0,90.0,0.264,0.724,1.0,0.0,0.0,0.0,2.0,0.0,HS,"Lake Brantley HS (Altamonte Springs, FL)",1
1997,1,,5,5,Y,"$1,600,000",Vernon Wells (minors),OF,28.6,1731.0,6642.0,270.0,0.27,0.778,,,,,,,HS,"James Bowie HS (Arlington, TX)",1
1996,1,,4,4,Y,"$1,450,000",Billy Koch (minors),RHP,5.4,41.0,2.0,0.0,0.0,0.0,379.0,29.0,25.0,3.89,1.4,163.0,4Yr,"Clemson University (Clemson, SC)",1
1996,1,,16,16,Y,"$907,500",*Joe Lawrence (minors),SS,-1.0,55.0,150.0,2.0,0.18,0.508,,,,,,,HS,"Alfred M. Barbe HS (Lake Charles, LA)",1
1996,1s,,31,31,Y,,*Pete Tucci (minors),1B,,,,,,,,,,,,,4Yr,"Providence College (Providence, RI)",1
1995,1,,17,17,Y,"$895,000",Roy Halladay (minors),RHP,64.2,115.0,275.0,0.0,0.124,0.267,416.0,203.0,105.0,3.38,1.18,1.0,HS,"Arvada West HS (Arvada, CO)",1
1994,1,,28,28,Y,"$470,000",Kevin Witt (minors),SS,-1.6,146.0,399.0,15.0,0.233,0.643,,,,,,,HS,"Bishop Kenny HS (Jacksonville, FL)",1
1993,1,,15,15,Y,"$580,000",*Chris Carpenter (minors),RHP,34.2,196.0,439.0,2.0,0.119,0.296,350.0,144.0,94.0,3.76,1.28,0.0,HS,"Trinity HS (Manchester, NH)",1
1993,1s,,37,37,Y,,*Matt Farner (minors),OF,,,,,,,,,,,,,HS,"East Pennsboro HS (Enola, PA)",1
1993,1s,,40,40,Y,,*Mark Lukasiewicz (minors),LHP,-0.2,1.0,0.0,0.0,,,41.0,2.0,2.0,5.2,1.54,0.0,JC,"Eastern Florida State College (Cocoa, FL)",1
1993,1s,,41,41,Y,,*Jeremy Lee (minors),RHP,,,,,,,,,,,,,HS,"Galesburg HS (Galesburg, IL)",1
1992,1,,19,19,Y,"$450,000",*Shannon Stewart (minors),OF,24.9,1386.0,5574.0,115.0,0.297,0.79,,,,,,,HS,"Miami Southridge HS (Miami, FL)",1
1992,1,,25,25,Y,"$450,000",Todd Steverson (minors),OF,-0.3,31.0,43.0,2.0,0.256,0.729,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
1992,1s,,34,34,Y,,*Brandon Cromer (minors),SS,,,,,,,,,,,,,HS,"Lexington HS (Lexington, SC)",1
1991,1,,16,16,Y,"$725,000",*Shawn Green (minors),OF,34.7,1951.0,7082.0,328.0,0.283,0.85,,,,,,,HS,"Tustin HS (Tustin, CA)",1
1991,1s,,35,35,Y,,*Jeff Ware (minors),RHP,-0.7,0.0,0.0,0.0,,,18.0,3.0,6.0,7.47,1.95,0.0,4Yr,"Old Dominion University (Norfolk, VA)",1
1991,1s,,42,42,N,,*Dante Powell (minors),SS,-0.2,70.0,74.0,2.0,0.27,0.755,,,,,,,HS,"Millikan HS (Long Beach, CA)",1
1990,1,,22,22,Y,"$180,000",Steve Karsay (minors),RHP,11.1,58.0,4.0,0.0,0.0,0.0,357.0,32.0,39.0,4.01,1.38,41.0,HS,"Christ the King HS (Queens, NY)",1
