Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1997,1,,3,3.0,Y,"$2,000,000",Troy Glaus (minors),3B,38.1,1537.0,5410.0,320.0,0.254,0.848,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
1995,1,,1,1.0,Y,"$1,575,000",Darin Erstad (minors),OF,32.3,1654.0,6024.0,124.0,0.282,0.743,,,,,,,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)",1
1994,1,,6,6.0,Y,"$700,000",McKay Christensen (minors),OF,-0.3,99.0,128.0,2.0,0.25,0.644,,,,,,,HS,"Clovis West HS (Fresno, CA)",1
1993,1,,3,3.0,Y,"$680,000",Brian Anderson (minors),LHP,10.0,171.0,255.0,1.0,0.137,0.354,291.0,82.0,83.0,4.74,1.34,1.0,4Yr,"Wright State University (Dayton, OH)",1
1992,1,,8,8.0,Y,"$90,000",Pete Janicki (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
1992,1s,,29,29.0,Y,,*Jeff Schmidt (minors),RHP,-0.2,0.0,0.0,0.0,,,9.0,2.0,0.0,7.88,2.63,0.0,4Yr,"University of Minnesota (Minneapolis, MN)",1
1991,1,,17,17.0,Y,"$250,000",Eduardo Perez (minors),1B,0.9,754.0,1800.0,79.0,0.247,0.757,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
1991,1s,,34,34.0,Y,,*Jorge Fabregas (minors),3B,-2.2,646.0,1827.0,23.0,0.241,0.599,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",1
1989,1,,9,9.0,Y,"$182,000",Kyle Abbott (minors),LHP,-1.4,49.0,31.0,0.0,0.097,0.254,57.0,4.0,17.0,5.2,1.54,0.0,4Yr,"California State University, Long Beach (Long Beach, CA)",1
1988,1,,8,8.0,Y,"$200,000",Jim Abbott (minors),LHP,19.6,18.0,21.0,0.0,0.095,0.19,263.0,87.0,108.0,4.25,1.43,0.0,4Yr,"University of Michigan (Ann Arbor, MI)",1
