Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1999,1,,13,13.0,Y,"$1,700,000",Mike Paradis (minors),RHP,,,,,,,,,,,,,4Yr,"Clemson University (Clemson, SC)",1
1999,1,,18,18.0,Y,"$1,795,000",*Rich Stahl (minors),LHP,,,,,,,,,,,,,HS,"Newton HS (Covington, GA)",1
1999,1,,21,21.0,Y,"$1,200,000",*Larry Bigbie (minors),OF,2.5,392.0,1227.0,31.0,0.267,0.726,,,,,,,4Yr,"Ball State University (Muncie, IN)",1
1999,1,,23,23.0,Y,"$1,150,000",*Keith Reed (minors),OF,-0.1,6.0,5.0,0.0,0.2,0.533,,,,,,,4Yr,"Providence College (Providence, RI)",1
1999,1s,,34,34.0,Y,"$950,000",*Josh Cenate (minors),LHP,,,,,,,,,,,,,HS,"Jefferson HS (Shenandoah Junction, WV)",1
1999,1s,,44,44.0,Y,"$737,500",*Scott Rice (minors),LHP,-0.1,98.0,0.0,0.0,,,105.0,5.0,7.0,4.18,1.48,0.0,HS,"Royal HS (Simi Valley, CA)",1
1999,1s,,50,50.0,Y,"$650,000",*Brian Roberts (minors),SS,29.5,1418.0,5531.0,97.0,0.276,0.756,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",1
1998,1,,26,26.0,Y,"$950,000",Rick Elder (minors),OF,,,,,,,,,,,,,HS,"Sprayberry HS (Marietta, GA)",1
1998,1s,,39,39.0,Y,"$650,000",*Mamon Tucker (minors),OF,,,,,,,,,,,,,HS,"Stephen F. Austin HS (Austin, TX)",1
1997,1,,22,22.0,Y,"$885,000",Jayson Werth (minors),C,29.2,1583.0,5484.0,229.0,0.267,0.816,,,,,,,HS,"Glenwood HS (Chatham, IL)",1
1997,1,,26,26.0,Y,"$1,900,000",*Darnell McDonald (minors),OF,0.9,331.0,764.0,20.0,0.25,0.711,2.0,0.0,1.0,22.5,3.5,0.0,HS,"Cherry Creek HS (Greenwood Village, CO)",1
1997,1s,,36,36.0,Y,,*Ntema Ndungidi (minors),OF,,,,,,,,,,,,,HS,"Polyvalente Edouard Montpetit (Montreal, QC)",1
1995,1,,21,21.0,Y,"$650,000",Al Shepherd (minors),RHP,,,,,,,,,,,,,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)",1
1993,1,,19,19.0,Y,"$492,000",Jay Powell (minors),RHP,2.8,379.0,12.0,0.0,0.167,0.333,512.0,36.0,23.0,4.17,1.5,22.0,4Yr,"Mississippi State University (Mississippi State, MS)",1
