Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1996,1,,13,13.0,Y,"$975,000",Rob Stratton (minors),OF,,,,,,,,,,,,,HS,"San Marcos HS (San Marcos, CA)",1
1995,1,,18,18.0,Y,"$850,000",Ryan Jaroncyk (minors),SS,,,,,,,,,,,,,HS,"Orange Glen HS (Escondido, CA)",1
1994,1,,1,1.0,Y,"$1,550,000",Paul Wilson (minors),RHP,2.0,97.0,184.0,1.0,0.103,0.271,170.0,40.0,58.0,4.86,1.45,0.0,4Yr,"Florida State University (Tallahassee, FL)",1
1994,1,,20,20.0,Y,"$500,000",*Terrence Long (minors),1B,5.3,890.0,3068.0,69.0,0.269,0.722,,,,,,,HS,"Stanhope Elmore HS (Millbrook, AL)",1
1994,1s,,29,29.0,Y,,*Jay Payton (minors),OF,15.4,1259.0,4154.0,119.0,0.279,0.748,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
1993,1,,8,8.0,Y,"$900,000",Kirk Presley (minors),RHP,,,,,,,,,,,,,HS,"Tupelo HS (Tupelo, MS)",1
1992,1,,9,9.0,Y,"$500,000",Preston Wilson (minors),SS,6.4,1108.0,4003.0,189.0,0.264,0.797,,,,,,,HS,"Bamberg Ehrhardt HS (Bamberg, SC)",1
1992,1,,18,18.0,Y,"$365,000",*Chris Roberts (minors),LHP,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
1992,1s,,30,30.0,N,,*Jon Ward (minors),RHP,,,,,,,,,,,,,HS,"Huntington Beach HS (Huntington Beach, CA)",1
1991,1,,18,18.0,Y,"$245,000",*Al Shirley (minors),OF,,,,,,,,,,,,,HS,"George Washington HS (Danville, VA)",1
1991,1s,,36,36.0,Y,,*Bobby Jones (minors),RHP,7.5,235.0,442.0,1.0,0.134,0.322,245.0,89.0,83.0,4.36,1.35,0.0,4Yr,"California State University, Fresno (Fresno, CA)",1
1990,1,,17,17.0,Y,"$192,500",Jeromy Burnitz (minors),OF,19.9,1694.0,5710.0,315.0,0.253,0.826,,,,,,,4Yr,"Oklahoma State University (Stillwater, OK)",1
1989,1,,24,24.0,Y,"$123,000",Alan Zinter (minors),C,-0.8,67.0,78.0,3.0,0.167,0.548,,,,,,,4Yr,"University of Arizona (Tucson, AZ)",1
1988,1,,21,21.0,Y,"$100,000",Dave Proctor (minors),RHP,,,,,,,,,,,,,JC,"Allen Community College (Iola, KS)",1
1987,1,,24,24.0,Y,"$89,500",Chris Donnels (minors),3B,0.3,450.0,798.0,17.0,0.233,0.674,1.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Loyola Marymount University (Los Angeles, CA)",1
1986,1,,21,21.0,Y,"$130,500",Lee May (minors),OF,,,,,,,,,,,,,HS,"Purcell Marian HS (Cincinnati, OH)",1
1985,1,,20,20.0,Y,"$100,000",Gregg Jefferies (minors),SS,19.5,1465.0,5520.0,126.0,0.289,0.766,,,,,,,HS,"Junipero Serra HS (San Mateo, CA)",1
1984,1,,1,1.0,Y,"$150,500",Shawn Abner (minors),OF,-1.3,392.0,840.0,11.0,0.227,0.591,,,,,,,HS,"Mechanicsburg Area HS (Mechanicsburg, PA)",1
1983,1,,4,4.0,Y,"$130,000",Eddie Williams (minors),3B,-1.0,395.0,1145.0,39.0,0.252,0.717,,,,,,,HS,"Herbert Hoover HS (San Diego, CA)",1
1983,1,,20,20.0,Y,"$50,000",*Stan Jefferson (minors),OF,-0.3,296.0,832.0,16.0,0.216,0.601,,,,,,,4Yr,"Bethune-Cookman University (Daytona Beach, FL)",1
1983,1s,,27,27.0,Y,,*Calvin Schiraldi (minors),RHP,3.5,146.0,108.0,2.0,0.111,0.327,235.0,32.0,39.0,4.28,1.43,21.0,4Yr,"University of Texas at Austin (Austin, TX)",1
1982,1,,5,5.0,Y,"$85,000",Dwight Gooden (minors),RHP,53.0,318.0,741.0,8.0,0.196,0.474,430.0,194.0,112.0,3.51,1.26,3.0,HS,"Hillsborough HS (Tampa, FL)",1
1981,1,,4,4.0,Y,"$127,500",Terry Blocker (minors),OF,-1.0,110.0,244.0,2.0,0.205,0.509,1.0,0.0,0.0,0.0,2.0,0.0,4Yr,"Tennessee State University (Nashville, TN)",1
1980,1,,1,1.0,Y,"$152,500",Darryl Strawberry (minors),OF,42.2,1583.0,5418.0,335.0,0.259,0.862,,,,,,,HS,"Crenshaw HS (Los Angeles, CA)",1
1980,1,,23,23.0,Y,"$125,000",*Billy Beane (minors),OF,-1.6,148.0,301.0,3.0,0.219,0.542,,,,,,,HS,"Mount Carmel HS (San Diego, CA)",1
1980,1,,24,24.0,Y,"$55,000",*John Gibbons (minors),C,0.2,18.0,50.0,1.0,0.22,0.676,,,,,,,HS,"Douglas MacArthur HS (San Antonio, TX)",1
1979,1,,2,2.0,Y,"$100,000",Tim Leary (minors),RHP,12.0,133.0,163.0,1.0,0.221,0.523,292.0,78.0,105.0,4.36,1.41,1.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
1978,1,,3,3.0,Y,"$50,000",Hubie Brooks (minors),OF,13.0,1645.0,5974.0,149.0,0.269,0.717,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
1977,1,,16,16.0,Y,"$35,000",Wally Backman (minors),SS,13.2,1102.0,3245.0,10.0,0.275,0.687,,,,,,,HS,"Aloha HS (Aloha, OR)",1
1976,1,,13,13.0,Y,"$30,000",Tom Thurberg (minors),OF,,,,,,,,,,,,,HS,"South Weymouth HS (Weymouth, MA)",1
1975,1,,6,6.0,Y,"$30,000",Butch Benton (minors),C,-0.9,51.0,99.0,0.0,0.162,0.415,,,,,,,HS,"Amos P. Godby HS (Tallahassee, FL)",1
1974,1,,17,17.0,Y,"$30,000",Cliff Speck (minors),RHP,0.3,13.0,3.0,0.0,0.0,0.25,13.0,2.0,1.0,4.13,1.41,0.0,HS,"Beaverton HS (Beaverton, OR)",1
1973,1,,14,14.0,Y,"$50,000",Lee Mazzilli (minors),OF,15.6,1475.0,4124.0,93.0,0.259,0.744,,,,,,,HS,"Abraham Lincoln HS (Brooklyn, NY)",1
1972,1,,13,13.0,Y,"$22,000",Richard Bengston (minors),C,,,,,,,,,,,,,HS,"Richwoods HS (Peoria, IL)",1
1971,1,,14,14.0,Y,"$40,000",Rich Puig (minors),2B,-0.4,4.0,10.0,0.0,0.0,0.091,,,,,,,HS,"Hillsborough HS (Tampa, FL)",1
1970,1,,23,23.0,N,,George Ambrow (minors),SS,,,,,,,,,,,,,HS,"Long Beach Polytechnic HS (Long Beach, CA)",1
