Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1991,7,,184,7,N,,Paul Failla (minors),SS,,,,,,,,,,,,,HS,"North Allegheny HS (Wexford, PA)",7
1990,7,,207,26,Y,,Tom Smith (minors),INF,,,,,,,,,,,,,HS,"Avon Park HS (Avon Park, FL)",7
1989,7,,179,13,Y,,Ed Pierce (minors),OF,0.1,0.0,0.0,0.0,,,2.0,0.0,0.0,3.38,2.44,0.0,JC,"Orange Coast College (Costa Mesa, CA)",7
1988,7,,179,18,Y,,Frankie Watson (minors),OF,,,,,,,,,,,,,4Yr,"Longwood University (Farmville, VA)",7
1987,7,,171,9,Y,,Trey Gainous (minors),OF,,,,,,,,,,,,,4Yr,"Auburn University (Auburn, AL)",7
1986,7,,183,24,Y,,Rob Wolkoys (minors),SS,,,,,,,,,,,,,4Yr,"Chapman University (Orange, CA)",7
1985,7,,175,17,Y,,Dave Tinkle (minors),SS,,,,,,,,,,,,,HS,"Ocean View HS (Huntington Beach, CA)",7
1984,7,,174,16,Y,,Darin Grimes (minors),SS,,,,,,,,,,,,,HS,"Wichita North HS (Wichita, KS)",7
1983,7,,179,21,Y,,Dave Koller (minors),RHP,,,,,,,,,,,,,HS,"Peabody HS (Pittsburgh, PA)",7
1982,7,,168,10,Y,,Doug Gilcrease (minors),SS,,,,,,,,,,,,,4Yr,"Auburn University (Auburn, AL)",7
1981,7,,178,23,Y,,John Davis (minors),RHP,-0.7,6.0,1.0,0.0,0.0,0.0,71.0,7.0,9.0,4.92,1.65,4.0,HS,"Centennial HS (Pueblo, CO)",7
1980,7,,171,16,Y,,Don Slaught (minors),C,19.4,1327.0,4063.0,77.0,0.283,0.75,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",7
1979,7,,177,21,N,,Craig Lefferts (minors),LHP,8.9,610.0,132.0,1.0,0.121,0.287,696.0,58.0,72.0,3.43,1.25,101.0,4Yr,"University of Arizona (Tucson, AZ)",7
1978,7,,181,25,N,,Tim Rodgers (minors),RHP,,,,,,,,,,,,,HS,"Bixby HS (Bixby, OK)",7
1977,7,,177,21,Y,,Kelly Heath (minors),SS,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,JC,"Louisburg College (Louisburg, NC)",7
1976,7,,162,18,Y,,Darrell Vosejpka (minors),3B,,,,,,,,,,,,,HS,"Montgomery HS (Lonsdale, MN)",7
1975,7,,153,9,Y,,Kevin Gillen (minors),OF,,,,,,,,,,,,,HS,"Niles West HS (Skokie, IL)",7
1974,7,,162,18,Y,,Kevin Lahey (minors),RHP,,,,,,,,,,,,,HS,"Newburgh Free Academy (Newburgh, NY)",7
1973,7,,153,9,Y,,Danny Link (minors),RHP,,,,,,,,,,,,,HS,"North Davidson HS (Lexington, NC)",7
1972,7,,162,18,Y,,Dale Stevener (minors),OF,,,,,,,,,,,,,HS,"Francis Howell HS (St. Charles, MO)",7
