Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2000,1,,21,21.0,Y,"$1,245,000",Boof Bonser (minors),RHP,-0.5,6.0,6.0,0.0,0.0,0.0,111.0,19.0,25.0,5.18,1.46,0.0,HS,"Gibbs HS (St. Petersburg, FL)",1
1999,1,,24,24.0,Y,"$1,300,000",Kurt Ainsworth (minors),RHP,-0.3,20.0,28.0,0.0,0.071,0.179,29.0,6.0,8.0,5.19,1.56,0.0,4Yr,"Louisiana State University (Baton Rouge, LA)",1
1999,1s,,39,39.0,Y,"$832,500",*Jerome Williams (minors),RHP,3.5,122.0,167.0,0.0,0.108,0.255,236.0,52.0,66.0,4.59,1.39,2.0,HS,"Waipahu HS (Waipahu, HI)",1
1998,1,,19,19.0,Y,"$975,000",*Tony Torcato (minors),3B,-0.3,43.0,47.0,0.0,0.298,0.687,,,,,,,HS,"Woodland HS (Woodland, CA)",1
1998,1,,25,25.0,Y,"$750,000",Nate Bump (minors),RHP,-0.7,110.0,10.0,0.0,0.1,0.2,113.0,6.0,7.0,4.68,1.53,1.0,4Yr,"Pennsylvania State University (State College, PA)",1
1998,1,,29,29.0,Y,"$937,500",*Arturo McDowell (minors),OF,,,,,,,,,,,,,HS,"Forest Hill HS (Jackson, MS)",1
1998,1s,,38,38.0,Y,"$587,000",*Chris Jones (minors),LHP,,,,,,,,,,,,,HS,"South Mecklenburg HS (Charlotte, NC)",1
1998,1s,,41,41.0,Y,"$650,000",*Jeff Urban (minors),LHP,,,,,,,,,,,,,4Yr,"Ball State University (Muncie, IN)",1
1997,1,,4,4.0,Y,"$1,875,000",Jason Grilli (minors),RHP,4.6,302.0,15.0,1.0,0.2,0.6,595.0,34.0,47.0,4.22,1.37,79.0,4Yr,"Seton Hall University (South Orange, NJ)",1
1997,1s,,49,49.0,Y,,*Dan McKinley (minors),OF,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
1996,1,,7,7.0,N,,Matt White (minors),RHP,,,,,,,,,,,,,HS,"Waynesboro Area HS (Waynesboro, PA)",1
1995,1,,16,16.0,Y,"$900,000",Joe Fontenot (minors),RHP,-0.8,6.0,10.0,0.0,0.0,0.0,8.0,0.0,7.0,6.33,1.78,0.0,HS,"Acadiana HS (Lafayette, LA)",1
1994,1,,22,22.0,Y,"$507,500",*Dante Powell (minors),OF,-0.2,70.0,74.0,2.0,0.27,0.755,,,,,,,4Yr,"California State University, Fullerton (Fullerton, CA)",1
1994,1s,,32,32.0,Y,,*Jacob Cruz (minors),OF,0.4,409.0,729.0,19.0,0.241,0.708,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
1993,1,,6,6.0,Y,"$750,000",Steve Soderstrom (minors),RHP,-0.2,3.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,5.27,1.61,0.0,4Yr,"California State University, Fresno (Fresno, CA)",1
1992,1,,7,7.0,Y,"$825,000",Calvin Murray (minors),OF,2.1,288.0,633.0,8.0,0.231,0.648,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",1
1991,1s,,33,33.0,Y,,*Steve Whitaker (minors),LHP,,,,,,,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",1
1990,1,,15,15.0,Y,"$250,000",*Adam Hyzdu (minors),OF,-0.2,221.0,358.0,19.0,0.229,0.749,,,,,,,HS,"Archbishop Moeller HS (Cincinnati, OH)",1
