Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2001,1s,,35,35.0,Y,"$975,000",*J.D. Martin (minors),RHP,0.7,24.0,37.0,0.0,0.162,0.373,24.0,6.0,9.0,4.32,1.41,0.0,HS,"Sherman E. Burroughs HS (Ridgecrest, CA)",1
2001,1s,,43,43.0,Y,"$870,000",*Mike Conroy (minors),OF,,,,,,,,,,,,,HS,"Boston College HS (Boston, MA)",1
2000,1,,26,26.0,Y,"$1,375,000",Corey Smith (minors),SS,,,,,,,,,,,,,HS,"Piscataway HS (Piscataway, NJ)",1
2000,1s,,37,37.0,Y,"$850,000",*Derek Thompson (minors),LHP,0.2,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.5,1.44,0.0,HS,"Land O'Lakes HS (Land O'Lakes, FL)",1
1998,1,,20,20.0,Y,"$1,300,000",CC Sabathia (minors),LHP,62.3,48.0,121.0,3.0,0.207,0.525,561.0,251.0,161.0,3.74,1.26,0.0,HS,"Vallejo HS (Vallejo, CA)",1
1997,1,,28,28.0,Y,"$1,600,000",Tim Drew (minors),RHP,-2.3,25.0,7.0,0.0,0.0,0.125,35.0,2.0,4.0,7.02,1.8,2.0,HS,"Lowndes HS (Valdosta, GA)",1
1997,1s,,41,41.0,Y,,*Jason Fitzgerald (minors),OF,,,,,,,,,,,,,4Yr,"Tulane University (New Orleans, LA)",1
1996,1,,28,28.0,Y,"$400,000",Danny Peoples (minors),1B,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",1
1995,1,,23,23.0,Y,"$620,000",David Miller (minors),1B,,,,,,,,,,,,,4Yr,"Clemson University (Clemson, SC)",1
1994,1,,10,10.0,Y,"$1,150,000",Jaret Wright (minors),RHP,4.4,90.0,78.0,1.0,0.141,0.376,226.0,68.0,60.0,5.09,1.56,2.0,HS,"Katella HS (Anaheim, CA)",1
1993,1,,11,11.0,Y,"$600,000",Daron Kirkreit (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Riverside (Riverside, CA)",1
1992,1,,2,2.0,Y,"$650,000",Paul Shuey (minors),RHP,6.8,110.0,7.0,0.0,0.143,0.286,476.0,45.0,28.0,3.87,1.41,23.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
