Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2005,1s,,42,42.0,Y,"$800,000",*Clay Buchholz (minors),RHP,16.8,29.0,46.0,0.0,0.087,0.234,236.0,90.0,69.0,3.98,1.3,0.0,JC,"Angelina College (Lufkin, TX)",1
2005,1s,,45,45.0,Y,"$762,000",*Jed Lowrie (minors),2B,15.8,1307.0,4615.0,121.0,0.257,0.736,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",1
2005,1s,,47,47.0,Y,"$730,000",*Michael Bowden (minors),RHP,0.8,64.0,2.0,0.0,0.0,0.0,103.0,3.0,5.0,4.51,1.4,0.0,HS,"Waubonsie Valley HS (Aurora, IL)",1
2003,1,,17,17.0,Y,"$1,525,000",David Murphy (minors),OF,9.9,1110.0,3467.0,104.0,0.274,0.765,2.0,0.0,0.0,0.0,3.0,0.0,4Yr,"Baylor University (Waco, TX)",1
2003,1s,,32,32.0,Y,"$1,010,000",*Matt Murton (minors),OF,3.3,346.0,952.0,29.0,0.286,0.788,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2000,1,,22,22.0,Y,"$1,275,000",Phil Dumatrait (minors),LHP,-1.8,44.0,27.0,0.0,0.037,0.074,87.0,4.0,13.0,6.2,1.78,1.0,JC,"Bakersfield College (Bakersfield, CA)",1
1999,1,,17,17.0,Y,"$1,725,000",*Rick Asadoorian (minors),OF,,,,,,,,,,,,,HS,"Northbridge HS (Whitinsville, MA)",1
1999,1s,,40,40.0,Y,"$832,500",*Brad Baker (minors),RHP,,,,,,,,,,,,,HS,"Pioneer Valley Regional School (Northfield, MA)",1
1999,1s,,48,48.0,Y,"$660,000",*Casey Fossum (minors),LHP,-1.0,46.0,46.0,0.0,0.087,0.193,237.0,40.0,53.0,5.45,1.52,2.0,4Yr,"Texas A&M University (College Station, TX)",1
1998,1,,12,12.0,Y,"$1,250,000",Adam Everett (minors),SS,12.6,880.0,2758.0,40.0,0.242,0.64,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",1
1997,1,,17,17.0,Y,"$975,000",John Curtice (minors),LHP,,,,,,,,,,,,,HS,"Great Bridge HS (Chesapeake, VA)",1
1997,1s,,35,35.0,Y,,*Mark Fischer (minors),OF,,,,,,,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
1996,1,,26,26.0,Y,"$665,000",Josh Garrett (minors),RHP,,,,,,,,,,,,,HS,"South Spencer HS (Rockport, IN)",1
1996,1s,,34,34.0,Y,,*Chris Reitsma (minors),RHP,0.6,303.0,87.0,0.0,0.103,0.258,338.0,32.0,46.0,4.7,1.41,37.0,HS,"Calgary Christian HS (Calgary, AB)",1
1995,1,,15,15.0,Y,"$986,000",Andy Yount (minors),RHP,,,,,,,,,,,,,HS,"Kingwood HS (Kingwood, TX)",1
1995,1,,24,24.0,Y,"$575,000",*Corey Jenkins (minors),OF,,,,,,,,,,,,,HS,"Dreher HS (Columbia, SC)",1
1994,1,,12,12.0,Y,"$895,000",Nomar Garciaparra (minors),SS,44.3,1434.0,5586.0,229.0,0.313,0.882,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
1993,1,,7,7.0,Y,"$890,000",Trot Nixon (minors),OF,21.2,1092.0,3627.0,137.0,0.274,0.828,,,,,,,HS,"New Hanover HS (Wilmington, NC)",1
