Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1994,1,,17,17.0,Y,"$450,000",Ramon Castro (minors),C,3.0,567.0,1426.0,67.0,0.237,0.734,,,,,,,HS,"Lino Padron Rivera (Vega Baja, Puerto Rico)",1
1994,1,,25,25.0,Y,"$750,000",*Scott Elarton (minors),RHP,2.6,146.0,166.0,0.0,0.139,0.344,232.0,56.0,61.0,5.29,1.43,3.0,HS,"Lamar HS (Lamar, CO)",1
1994,1s,,30,30.0,Y,,*Russ Johnson (minors),SS,2.7,364.0,836.0,14.0,0.264,0.723,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
1993,1,,12,12.0,Y,"$550,000",Billy Wagner (minors),LHP,27.7,810.0,20.0,0.0,0.1,0.243,853.0,47.0,40.0,2.31,1.0,422.0,4Yr,"Ferrum College (Ferrum, VA)",1
1992,1,,1,1.0,Y,"$700,000",Phil Nevin (minors),3B,15.9,1217.0,4188.0,208.0,0.27,0.814,,,,,,,4Yr,"California State University, Fullerton (Fullerton, CA)",1
1992,1s,,37,37.0,Y,,*Kendall Rhine (minors),RHP,,,,,,,,,,,,,4Yr,"University of Georgia (Athens, GA)",1
1991,1,,6,6.0,N,,John Burke (minors),RHP,-0.5,28.0,21.0,0.0,0.191,0.381,28.0,4.0,6.0,6.75,1.83,0.0,4Yr,"University of Florida (Gainesville, FL)",1
1991,1s,,29,29.0,Y,,*Shawn Livesey (minors),SS,,,,,,,,,,,,,HS,"Simeon HS (Chicago, IL)",1
1991,1s,,40,40.0,Y,,*Jimmy Gonzalez (minors),C,,,,,,,,,,,,,HS,"East Hartford HS (East Hartford, CT)",1
1991,1s,,44,44.0,Y,,*Mike Groppuso (minors),3B,,,,,,,,,,,,,4Yr,"Seton Hall University (South Orange, NJ)",1
1990,1,,21,21.0,Y,"$250,000",*Tom Nevers (minors),SS,,,,,,,,,,,,,HS,"Edina HS (Edina, MN)",1
1990,1s,,31,31.0,Y,,*Brian Williams (minors),RHP,-4.1,200.0,85.0,0.0,0.177,0.398,256.0,26.0,38.0,5.37,1.66,6.0,4Yr,"University of South Carolina (Columbia, SC)",1
