Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1998,1,,16,16.0,Y,"$1,000,000",Kip Wells (minors),RHP,8.0,222.0,331.0,4.0,0.19,0.468,296.0,69.0,103.0,4.71,1.51,2.0,4Yr,"Baylor University (Waco, TX)",1
1998,1s,,35,35.0,Y,"$575,000",*Aaron Rowand (minors),OF,20.9,1358.0,4374.0,136.0,0.273,0.765,,,,,,,4Yr,"California State University, Fullerton (Fullerton, CA)",1
1997,1,,15,15.0,Y,"$1,056,000",Jason Dellaero (minors),SS,-0.9,11.0,33.0,0.0,0.091,0.205,,,,,,,4Yr,"University of South Florida (Tampa, FL)",1
1997,1s,,33,33.0,Y,,*Kyle Kane (minors),RHP,,,,,,,,,,,,,JC,"Saddleback College (Mission Viejo, CA)",1
1997,1s,,34,34.0,Y,,*Brett Caradonna (minors),OF,,,,,,,,,,,,,HS,"El Capitan HS (Lakeside, CA)",1
1997,1s,,43,43.0,Y,,*Aaron Myette (minors),RHP,-2.6,6.0,0.0,0.0,,,47.0,6.0,12.0,8.16,1.89,0.0,JC,"Central Arizona College (Coolidge, AZ)",1
1997,1s,,46,46.0,Y,,*Jim Parque (minors),LHP,2.5,6.0,10.0,0.0,0.2,0.4,103.0,31.0,34.0,5.42,1.64,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
1997,1s,,51,51.0,Y,,*Rocky Biddle (minors),RHP,-3.2,122.0,13.0,0.0,0.0,0.0,198.0,20.0,30.0,5.47,1.53,46.0,4Yr,"California State University, Long Beach (Long Beach, CA)",1
1996,1,,12,12.0,N,,Bobby Seay (minors),LHP,3.0,27.0,1.0,0.0,0.0,0.0,261.0,11.0,6.0,4.16,1.37,1.0,HS,"Sarasota HS (Sarasota, FL)",1
1995,1,,25,25.0,Y,"$550,000",Jeff Liefer (minors),3B,-2.9,288.0,779.0,31.0,0.23,0.679,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",1
1994,1,,26,26.0,Y,"$520,000",Mark Johnson (minors),C,1.9,332.0,934.0,16.0,0.218,0.632,,,,,,,HS,"Warner Robins HS (Warner Robins, GA)",1
1994,1s,,33,33.0,Y,,*Chris Clemons (minors),RHP,-0.3,0.0,0.0,0.0,,,5.0,0.0,2.0,8.53,2.37,0.0,4Yr,"Texas A&M University (College Station, TX)",1
1993,1,,17,17.0,Y,"$450,000",Scott Christman (minors),LHP,,,,,,,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",1
1992,1,,24,24.0,Y,"$354,000",Eddie Pearson (minors),1B,,,,,,,,,,,,,JC,"Bishop State Community College (Mobile, AL)",1
1991,1,,25,25.0,Y,"$185,000",Scott Ruffcorn (minors),RHP,-2.5,17.0,6.0,0.0,0.0,0.143,30.0,0.0,8.0,8.57,2.22,0.0,4Yr,"Baylor University (Waco, TX)",1
1990,1,,4,4.0,Y,"$350,000",Alex Fernandez (minors),RHP,28.5,64.0,126.0,3.0,0.175,0.537,263.0,107.0,87.0,3.74,1.28,0.0,4Yr,"Miami Dade College, Kendall Campus (Miami, FL)",1
1989,1,,7,7.0,Y,"$175,000",Frank Thomas (minors),1B,73.8,2322.0,8199.0,521.0,0.301,0.974,,,,,,,4Yr,"Auburn University (Auburn, AL)",1
1988,1,,10,10.0,Y,"$186,500",Robin Ventura (minors),3B,56.1,2079.0,7064.0,294.0,0.267,0.806,1.0,0.0,0.0,0.0,1.0,0.0,4Yr,"Oklahoma State University (Stillwater, OK)",1
1987,1,,5,5.0,Y,"$165,000",Jack McDowell (minors),RHP,27.8,0.0,0.0,0.0,,,277.0,127.0,87.0,3.85,1.3,0.0,4Yr,"Stanford University (Palo Alto, CA)",1
1986,1,,20,20.0,Y,"$77,500",Grady Hall (minors),LHP,,,,,,,,,,,,,4Yr,"Northwestern University (Evanston, IL)",1
1985,1,,5,5.0,Y,"$150,000",Kurt Brown (minors),C,,,,,,,,,,,,,HS,"Glendora HS (Glendora, CA)",1
1984,1,,20,20.0,Y,"$90,000",*Tony Menendez (minors),RHP,-0.3,23.0,1.0,0.0,0.0,0.0,23.0,3.0,1.0,4.97,1.21,0.0,HS,"American HS (Miami, FL)",1
1984,1,,26,26.0,Y,"$65,000",Tom Hartley (minors),OF,,,,,,,,,,,,,HS,"Hudson's Bay HS (Vancouver, WA)",1
1983,1,,13,13.0,Y,"$75,000",*Joel Davis (minors),RHP,0.6,0.0,0.0,0.0,,,49.0,8.0,14.0,4.91,1.51,0.0,HS,"Sandalwood HS (Jacksonville, FL)",1
